type,id,taxon_name,collection_date,late_collection_date,collection_day,collection_month,county,elevation,locality,latitude,longitude,pop_gen
herbarium,CAS-BOT-BC87549,Streptanthus tortuosus,4/9/78,4/9/78,,,El Dorado,259,"1 to 1.5 mile southeast of Coloma, on north bank of South Fork, American River.",38.78942,-120.85922,
herbarium,CAS-BOT-BC87820,Streptanthus tortuosus,5/28/34,5/28/34,,,Shasta,274,Kennet.,40.7443,-122.4072,
herbarium,GH422292,Streptanthus tortuosus,5/28/34,5/28/34,,,Unknown,274,"Kennett fume-denuded area, Kennett",40.7415,-122.40692,
herbarium,POM226892,Streptanthus tortuosus,5/28/34,5/28/34,,,Shasta,274,"Kennett fune-denuded area, Kennett.",40.7415,-122.40692,
seed_collection,BB,Streptanthus tortuosus,,,,,,282.8405974,"Off HWY 162 on N side of Bidwell Bridge, park in large turnout and walk up abandoned road. Plants on steep hillside above road",39.55355,-121.4329,
herbarium,Rich Gulch,Streptanthus tortuosus,,,,,,287.4123743,potential calflora site,38.33875,-120.63477,
herbarium,CHSC80521,Streptanthus tortuosus var. suffrutescens,4/8/01,4/8/01,,,Butte,292,Old roadbed paralleling Oroville-Quincy Hwy just north of Bidwell Bar Bridge.,39.553056,-121.430278,
herbarium,CAS-BOT-BC87514,Streptanthus tortuosus,4/14/38,4/14/38,,,Butte,304,Top of Table Mountain.,39.5908,-121.5483,
herbarium,CAS-BOT-BC87855,Streptanthus tortuosus,5/13/42,5/13/42,,,Siskiyou,304,"Klamath River near Clear Creek, 8 miles south of Happy Camp.",41.71,-123.4471,
herbarium,GH422302,Streptanthus tortuosus,5/13/42,5/13/42,,,Unknown,304,"Klamath River near Clear Creek, 8 miles south of Happy Camp",41.71233,-123.44616,
herbarium,UC673193,Streptanthus tortuosus,5/13/42,5/13/42,,,Siskiyou,304,"metamorphic bluffs near Clear Creek (ca 8 mi s of Happy Camp); Klamath-Siskiyou Region, Klamath River",41.71,-123.4471,
herbarium,UC902004,Streptanthus tortuosus,6/19/42,6/19/42,,,Del Norte,304,bluffs along river near Monkey Creek; Smith River,41.8945,-123.7999,
herbarium,JEPS77338,Streptanthus tortuosus,4/27/63,4/27/63,,,Mariposa,304,on Hwy 49 8.8 mi s Coulterville,37.626824,-120.148531,
herbarium,CHSC36694,Streptanthus tortuosus,5/18/82,5/18/82,,,Butte,304,"Roadcut, on w side of Oro-Quincy Hwy, ca. 0.4 mi n of Canyon Cr bridge over Lake Oroville, ca. 7 mi ne of Oroville.",39.591389,-121.432222,
herbarium,UC162599,Streptanthus tortuosus,6/1/01,6/30/01,,,Humboldt,304,Klamath River North Coast Ranges,41.28039,-123.82965,
herbarium,GH422303,Streptanthus tortuosus,1897-06-11,1897-06-16,,,Unknown,304,North Side of Mt. Shasta,41.42806,-122.19921,
herbarium,HSC6948,Streptanthus tortuosus,5/13/42,5/13/42,,,Siskiyou,305,"Klamath River near Clear Creek, 8 mi. S of Happy Camp",41.71,-123.4471,
herbarium,POM266038,Streptanthus tortuosus,5/13/42,5/13/42,,,Siskiyou,305,"Klamath River near Clear Creek, 8 miles S of Happy Camp.",41.710182,-123.449642,
herbarium,HSC27108,Streptanthus tortuosus var. tortuosus,6/21/72,6/21/72,,,Siskiyou,305,0.25 mi. above road on WSW slope,41.37758,-123.41792,
herbarium,HSC36683,Streptanthus tortuosus,4/20/74,4/20/74,,,Butte,305,"N end of Table Mtn., near Oroville",39.604304,-121.570548,
herbarium,UCD116292,Streptanthus tortuosus,5/12/84,5/12/84,,,Trinity,305,"6.4 km E of Burnt Ranch, Highway 299 at Don Juan Point.",40.798775,-123.418472,
herbarium,UCD116302,Streptanthus tortuosus,6/19/84,6/19/84,,,Butte,305,"12 km NE of Oroville, Oro-Quincy Hwy on north side of Canyon Creek bridge.",39.59804,-121.44402,
herbarium,GH422359,Streptanthus tortuosus,5/14/48,5/14/48,,,Unknown,335,crest of Table Mt. where the road to Oroville starts to descend,39.576105,-121.591329,
herbarium,GH422297,Streptanthus tortuosus,5/14/49,5/14/49,,,Unknown,335,"crest of Table Mountains, road to Oroville",39.598253,-121.557489,
herbarium,UC956623,Streptanthus tortuosus,5/14/49,5/14/49,,,Butte,335,crest of mt Table Mountain (on road to Oroville),39.97722,-121.42222,
herbarium,JEPS77292,Streptanthus tortuosus var. suffrutescens,4/27/63,4/27/63,,,Calaveras,335,"7 mi s Copperopolis (on road to State Hwy 108 and 120, Table Mt.); Table Mt.",37.896946,-120.57588,
herbarium,JEPS77293,Streptanthus tortuosus var. suffrutescens,4/27/63,4/27/63,,,Calaveras,335,"7 mi s Copperopolis (on road to State Hwy 108 and 120, Table Mt.); Table Mt.",37.896946,-120.57588,
herbarium,CHSC20592,Streptanthus tortuosus var. suffrutescens,4/17/65,4/17/65,,,Calaveras,335,"Sierra Nevada, foothills. Byrnes Ferry Road, on table mountain, across from Byrnes Ferry Historical Marker.",37.873611,-120.583611,
herbarium,HSC60660,Streptanthus tortuosus var. tortuosus,6/15/70,6/15/70,,,Siskiyou,335,5 mi. NW of Forks of Salmon,41.30754,-123.3744,
herbarium,CHSC24706,Streptanthus tortuosus var. pallidus,4/18/76,4/18/76,,,Placer,335,"On n side of deserted R.R., on n fork of the American River, ca. 2 mi w of Hwy 49 bridge.",38.878056,-121.081111,
herbarium,UCD116300,Streptanthus tortuosus,5/19/84,5/19/84,,,Trinity,335,"4.5 km west of Del Loma, Highway 299 at Schneider's Bar.",40.77861,-123.33111,
herbarium,UCD116412,Streptanthus tortuosus,4/27/86,4/27/86,,,Fresno,335,"Sierra Nevada, Mill Creek, within 1 mile of Kings River.",36.85,-119.083333,
herbarium,LA103954,Streptanthus tortuosus,4/27/86,4/27/86,,,Fresno,335,"Sierra Nevada, Mill Creek, within 1 mi of Kings River",35.85,-119.1,
herbarium,LA103972,Streptanthus tortuosus,4/27/86,4/27/86,,,Fresno,335,"Mill Creek, within 1 mi. of Kings River",36.85,-119.08,
herbarium,JEPS661,Streptanthus tortuosus var. suffrutescens,5/17/02,5/17/02,,,Calaveras,335,Gwin Mine,38.275642,-120.756836,
herbarium,JEPS662,Streptanthus tortuosus var. suffrutescens,5/17/02,5/17/02,,,Calaveras,335,Gwin Mine,38.275642,-120.756836,
herbarium,UCD166859,Streptanthus tortuosus var. oblongus,7/7/16,7/7/16,,,Siskiyou,345,"4.1 mi W of Forks of Salmon, along Salmon River Rd, opposite Bloomer Mine.",41.303889,-123.372222,
herbarium,UCD147018,Streptanthus tortuosus,5/20/11,5/20/11,,,Shasta,349,"Pit River Arm of Shasta Lake, 0.65 mi ENE of Jones Valley Campground, along Jones Valley Rd.",40.730556,-122.217222,
herbarium,JEPS95561,Streptanthus tortuosus var. tortuosus,5/6/84,5/6/84,,,Shasta,350,"jct. of Backbone Rd. (34N02) and the spur trail to Clikapudi Trail, SW of Clikapudi Bay off of the Pit Arm of Shasta Lake",40.732,-122.208,
herbarium,CHSC63557,Streptanthus tortuosus var. pallidus,5/6/94,5/6/94,,,Shasta,350,"Junction of Backbone Rd. (34N02) and the spur trail to Clikapudi Trail, SW of Clikapudi Bay off of the Pit Arm of Shasta Lake. Roadside.",40.723889,-122.21,
herbarium,CHSC103935,Streptanthus tortuosus var. suffrutescens,5/16/10,5/16/10,,,Butte,364,"Basalt cliffs, about 1/2 mile south of the parking area, North Table Mountain, about 4 1/2 miles (air) northeast of Oroville.",39.573333,-121.545278,
herbarium,JEPS117225,Streptanthus tortuosus var. suffrutescens,5/16/10,5/16/10,,,Butte,364,"Basalt cliffs, about 1/2 mile south of the parking area, North Table Mountain, about 4 1/2 miles (air) northeast of Oroville",39.573334,-121.54528,
herbarium,UC906675,Streptanthus tortuosus,6/24/42,6/24/42,,,Trinity,365,bluffs at river mouth New River,40.84598,-123.47859,
herbarium,CAS-BOT-BC87889,Streptanthus tortuosus,6/22/47,6/22/47,,,Trinity,365,Along Trinity River near Swedes Creek.,40.796436,-123.353935,
herbarium,GH422313,Streptanthus tortuosus,6/22/47,6/22/47,,,Unknown,365,Rock cliffs along Trinity River near Swedes Creek,40.79354,-123.35524,
herbarium,UC902098,Streptanthus tortuosus,6/22/47,6/22/47,,,Trinity,365,rock cliffs along river near Swedes Creek; Trinity River,40.796436,-123.353935,
herbarium,CAS-BOT-BC87484,Streptanthus tortuosus,7/7/48,7/7/48,,,Glenn,365,10 miles east of Alder Springs.,39.65223,-122.55043,
herbarium,CHSC25540,Streptanthus tortuosus var. suffrutescens,4/29/74,4/29/74,,,Butte,365,"Lava outcrops of Table Mountain several miles north of Oroville, off Cherokee Road.",39.595278,-121.541111,
herbarium,CHSC36133,Streptanthus tortuosus,4/15/79,4/15/79,,,Butte,365,Ca. 6 mi n of Oroville and w of Cherokee Mountain Rd 0.5 mi. Field.,39.566944,-121.561389,
herbarium,CAS-BOT-BC87510,Streptanthus tortuosus,5/9/87,5/9/87,,,Butte,365,"Along Pulga Road, about 0.5 mile SW of Bardees Bar along the North Fork of the Feather River, about 3 miles SW of Pulga.",39.761944,-121.461944,
herbarium,CHSC42697,Streptanthus tortuosus,5/9/87,5/9/87,,,Butte,365,"Along Pulga Road, about 1/2 mile south-west of Bardees Bar along the North Fork of the Feather River, about 3 miles south-west of Pulga.",39.761944,-121.461944,
herbarium,UC54268,Streptanthus tortuosus,6/1/03,6/30/03,,,Shasta,365,Salt Creek Upper Sacramento Valley,41.00313,-122.40128,
herbarium,POM301292,Streptanthus tortuosus,6/22/47,6/22/47,,,Trinity,366,"Along Trinity River, near Swedes Creek.",40.796436,-123.353935,
herbarium,HSC40419,Streptanthus tortuosus,7/15/73,7/15/73,,,Siskiyou,366,On Wooley Creek Trail between Deer Lick and Gates Creek,41.4052,-123.4063,
herbarium,CHSC21273,Streptanthus tortuosus var. suffrutescens,4/21/73,4/21/73,,,Butte,373,"Ca. 4 mi s of Cherokee, ca. 100 yds w of Cherokee Rd, on Table Mountain.",39.596389,-121.537778,
herbarium,SEINET3838556,Streptanthus tortuosus,4/14/10,4/14/10,,,Trinity,375,"3.6 kilometers southeast of Burnt Ranch Post Office on Highway 299, mostly just north of China Slide. 2 kilometers northwest of Trinity River crossing at Cedar Flat.",40.79686,-123.46078,
seed_collection,TM2 (was TM P),Streptanthus tortuosus,,,,,,379.1526973,,39.59255,-121.55072,x
herbarium,UC956543,Streptanthus tortuosus,7/2/48,7/2/48,,,Shasta,381,Hwy 299 6.8 mi ne Redding (base of bluffs on creek); Little Cow Creek,40.62893,-122.27987,
herbarium,CAS-BOT-BC87516,Streptanthus tortuosus,4/17/78,4/17/78,,,Butte,381,Sierra Nevada. Table Mountain.,39.595556,-121.539444,
herbarium,CHSC81238,Streptanthus tortuosus var. suffrutescens,5/2/01,5/2/01,,,Butte,384,North Table Mountain.,39.590833,-121.550556,
herbarium,UCD164125,Streptanthus tortuosus,5/15/10,5/15/10,,,Butte,387,Table Mountain.,39.595556,-121.546944,
herbarium,CHSC116998,Streptanthus tortuosus var. pallidus,6/4/16,6/4/16,,,Butte,387,"On the north side of Lumpkin Road, about 100 yards north of McCabe Creek, about 3 miles (air) west of Forbestown.",39.518611,-121.335833,
herbarium,UCD164127,Streptanthus tortuosus,5/15/10,5/15/10,,,Butte,389,Table Mountain.,39.595556,-121.546944,
herbarium,UCD116298,Streptanthus tortuosus,5/19/84,5/19/84,,,Shasta,390,"Highway 299, south side of Clear Creek bridge.",40.664811,-122.732738,
herbarium,CHSC90458,Streptanthus tortuosus var. suffrutescens,3/11/05,3/11/05,,,Yuba,395,"South steep slope of a large rock outcrop, west of a poor dirt road, about 1/2 mile west of Marysville Road, about 1/2 mile north of Parking Area 3, Daugherty Hill Wildlife Area, Donovan Hill Management Area, about 1/2 mile north of Loma Rica Road, about 5 miles (air) northeast of Loma Rica.",39.335556,-121.346667,
herbarium,SBBG2586,Streptanthus tortuosus var. tortuosus,5/31/45,5/31/45,,,Mariposa,396,rock walls along Merced River near Briceburg,37.605,-119.965,
herbarium,CAS-BOT-BC87634,Streptanthus tortuosus,4/24/72,4/24/72,,,Mariposa,396,Sierra Nevada. 3 miles from Briceburg on road to El Portal in Merced River Canyon.,37.635593,-119.933729,
herbarium,CAS-BOT-BC87913,Streptanthus tortuosus,4/24/72,4/24/72,,,Mariposa,396,Sierra Nevada. 3 miles from Briceburg on road to El Portal in Merced River Canyon.,37.635593,-119.933729,
herbarium,GH422358,Streptanthus tortuosus,4/24/72,4/24/72,,,Unknown,396,3 miles from Briceburg on road to El Portal in Merced River Canyon,37.635593,-119.933729,
herbarium,GH422388,Streptanthus tortuosus,4/24/72,4/24/72,,,Unknown,396,3 miles from Briceburg on road to El Portal in Merced R. Cyn.,37.635593,-119.933729,
herbarium,UCD116282,Streptanthus tortuosus,4/21/84,4/21/84,,,Butte,396,"8 km north of Oroville, North Table Mountain.",39.598253,-121.557489,
herbarium,JEPS2886,Streptanthus tortuosus,7/9/22,7/9/22,,,Trinity,396,"on bluffs Northern Coast Ranges, Burnt Ranch; Burnt Ranch, Trinity Co.",40.80917,-123.47306,
herbarium,JEPS2887,Streptanthus tortuosus,7/9/22,7/9/22,,,Trinity,396,"on bluffs Northern Coast Ranges, Burnt Ranch; Burnt Ranch, Trinity Co.",40.80917,-123.47306,
herbarium,CHSC93504,Streptanthus tortuosus var. suffrutescens,5/8/06,5/8/06,,,Butte,402,"On basalt outcrops, about 1/3 mile north of the parking area, cow chute, and Cherokee Road, North Table Mountain, about 7 miles (air) north of Oroville.",39.599444,-121.544444,
herbarium,HSC96716,Streptanthus tortuosus var. suffrutescens,5/8/06,5/8/06,,,Butte,402,"1/3 mi. N of parking area, cow chute, and Cherokee Rd., N Table Mtn., 7 mi. N of Oroville",39.599444,-121.544472,
herbarium,JEPS108791,Streptanthus tortuosus var. suffrutescens,5/8/06,5/8/06,,,Butte,402,"On basalt outcrops, about 1/3 mile north of the parking area, cow chute, and Cherokee Road, North Table Mountain, about 7 miles (air) north of Oroville",39.59944,-121.54444,
herbarium,SD237393,Streptanthus tortuosus,5/7/09,5/7/09,,,Placer,402,"Sierra Nevada Mountains Foothills: Oxbow road, 2.0 miles south of its junction with Mosquito Ridge Road; north edge of Oxbow Reservoir (Michigan Bluff 7.5'Q)",39.00556,-120.73139,
herbarium,UCR208578,Streptanthus tortuosus,5/7/09,5/7/09,,,Placer,402,"Sierra Nevada Mountains Foothills, Oxbow Road, 2.0 miles south of its junction with Mosquito Ridge Road; north edge of Oxbow Reservoir",39.00556,-120.73139,
herbarium,CHSC71168,Streptanthus tortuosus var. suffrutescens,6/3/98,6/3/98,,,Butte,403,"About 1/4 mile north of the cow chute along Cherokee Road, North Table Mountain, about 7 miles (air) north of Oroville.",39.601389,-121.545,
herbarium,JEPS94903,Streptanthus tortuosus var. suffrutescens,6/3/98,6/3/98,,,Butte,403,"about 7 air mi n of Oroville (about 1/4 mi n of the cow chute along Cherokee Road, North Table Mountain); North Table Mountain, Cherokee Road",39.6053,-121.5483,
herbarium,CHSC90342,Streptanthus tortuosus var. suffrutescens,2/28/05,2/28/05,,,Yuba,403,"West of a poor dirt road, about 1/2 mile west of Marysville Road, about 1/2 mile north of Parking Area 3, Daugherty Hill Wildlife Area, Donovan Hill Management Area, about 1/2 mile north of Loma Rica Road, about 5 miles (air) northeast of Loma Rica.",39.335278,-121.346944,
herbarium,CHSC90355,Streptanthus tortuosus var. suffrutescens,2/28/05,2/28/05,,,Yuba,403,"West of a poor dirt road, about 1/2 mile west of Marysville Road, about 1/2 mile north of Parking Area 3, Daugherty Hill Wildlife Area, Donovan Hill Management Area, about 1/2 mile north of Loma Rica Road, about 5 miles (air) northeast of Loma Rica.",39.335278,-121.346944,
herbarium,JEPS107423,Streptanthus tortuosus var. suffrutescens,2/28/05,2/28/05,,,Yuba,403,"West of a poor dirt road, about 1/2 mile west of Marysville Road, about 1/2 mile north of Parking Area 3, Daugherty Hill Wildlife Area, Donovan Hill Management Area, about 1/2 mile north of Loma Rica Road, about 5 miles (air) northeast of Loma Rica",39.335278,-121.34695,
herbarium,CHSC93859,Streptanthus tortuosus var. suffrutescens,6/9/06,6/9/06,,,Butte,403,"Cutbank, on the west side of Bardees Bar Road, south of the small stream, about 1/4 mile southwest of the poor bridge across the North Fork of the Feather River at Bardees Bar, about 2 3/4 miles (air) southwest of Pulga.",39.766944,-121.460833,
herbarium,JEPS110447,Streptanthus tortuosus var. suffrutescens,6/9/06,6/9/06,,,Butte,403,"Cutbank, on the west side of Bardees Bar Road, south of the small stream, about 1/4 mile southwest of the poor bridge across the North Fork of the Feather River at Bardees Bar, about 2 3/4 miles (air) southwest of Pulga",39.766945,-121.46083,
herbarium,RSA715714,Streptanthus tortuosus var. tortuosus,2/28/05,2/28/05,,,Yuba,404,"W of a poor dirt road, about 0.5 mile W of Marysville Road, about 0.5 mile N of Parking Area 3, Daugherty Hill Wildlife Area, Donovan Hill Management Area, about 0.5 mile N of Loma Rica Road, about 5 miles (air) NE of Loma Rica.",39.335333,-121.346889,
herbarium,HSC96695,Streptanthus tortuosus var. suffrutescens,6/9/06,6/9/06,,,Butte,404,"W side of Bardees Bar Rd., S of small stream, 0.25 mi. SW of bridge across N Fork Feather River at Bardees Bar, 2.75 mi. SW of Pulga",39.766972,-121.460833,
seed_collection,TM1 (was TM M),Streptanthus tortuosus,,,,,,411.4599208,"Lowest elevation site. Unique area with rocky basalt outcroppings amidst grasslands. Supposedly there are other species of Streptanthus on Table Mountain, but no one in our research team has observed them directly in the field.",39.5987,-121.54554,
seed_collection,SC,Streptanthus tortuosus,,,,,,421.5178299,Off side of Volcano Rd on steep rocky slope,38.41167,-120.73583,
herbarium,UCD116277,Streptanthus tortuosus,4/25/82,4/25/82,,,Butte,426,"Cape Horn, w fork of Lake Oroville, 4.5 miles SE of Paradise.",39.710556,-121.558889,
herbarium,CHSC36693,Streptanthus tortuosus var. suffrutescens,4/25/82,4/25/82,,,Butte,426,"Cape Horn, w fork of Lake Oroville, ca. 4.5 mi se of Paradise.",39.710556,-121.558889,
herbarium,UC162598,Streptanthus tortuosus,6/1/01,6/30/01,,,Humboldt,426,Klamath River North Coast Ranges,41.28039,-123.82965,
herbarium,HSC60665,Streptanthus tortuosus var. tortuosus,6/1/75,6/1/75,,,Trinity,427,"Hwy. 299, 1 mi. W of Junction City",40.742695,-123.064516,
herbarium,UCR208540,Streptanthus tortuosus,5/7/09,5/7/09,,,Placer,433,"Sierra Nevada Mountains Foothills, Mosquito Ridge Road, 9.8 miles east of its junction with Forest Hill Road in Foresthill",39.02222,-120.72194,
herbarium,CAS-BOT-BC87681,Streptanthus tortuosus,5/11/54,5/11/54,,,Mariposa,441,4 miles south of Mormon Bar.,37.46239,-119.880679,
herbarium,CAS-BOT-BC87729,Streptanthus tortuosus,5/16/70,5/16/70,,,Nevada,441,"Excelsior Ditch just east of Highway 49, near South Fork of Yuba River Bridge.",39.292372,-121.126064,
herbarium,CHSC36695,Streptanthus tortuosus,5/19/82,5/19/82,,,Butte,451,"On n side of McCabe's Cr, 100 ft e of Lumpkin Rd, ca. 12 mi e of Oroville.",39.517222,-121.334167,
herbarium,UCR218183,Streptanthus tortuosus var. tortuosus,5/31/10,5/31/10,,,Amador,451,"Sierra Nevada Mountains Foothills, Sutter Creek-Volcano Road, 5.2 miles east of the village of Sutter Creek",38.41167,-120.73583,
seed_collection,IH,Streptanthus tortuosus,,,,,,454.1298385,,39.09332,-120.92114,x
herbarium,UCSB27132,Streptanthus tortuosus,6/15/71,6/15/71,,,Shasta,457,"Pollard Flat Campground, 9 miles north of Loftus, along U.S. Highway 99",40.99904,-122.41186,
herbarium,UCD116416,Streptanthus tortuosus,5/7/72,5/7/72,,,Shasta,457,5.2 miles east of Buckhorn Summit on State Route 299.,40.657314,-122.652334,
herbarium,HSC27166,Streptanthus tortuosus var. tortuosus,6/8/72,6/8/72,,,Shasta,457,"Hwy. 299, 5.2 mi. E of Buckhorn Summit",40.66944,-122.68989,
herbarium,UCD116294,Streptanthus tortuosus,5/13/84,5/13/84,,,Trinity,457,"1 km north of Junction City, on east side of Canyon Creek Road.",40.74251,-123.0519,
herbarium,UCD116316,Streptanthus tortuosus,5/22/96,5/22/96,,,Butte,457,"along Highway 70, 0.1 mile west of access to Cresta Powerhouse.",39.825024,-121.411741,
herbarium,CAS-BOT-BC87976,Streptanthus tortuosus,7/1/19,7/1/19,,,Tuolumne,457,"Iron Canyon, Stanislaus River.",37.94596,-120.529206,
herbarium,POM129228,Streptanthus tortuosus,7/1/19,7/1/19,,,Tuolumne,457,"Iron Canyon, Stanislaus River.",37.94596,-120.529206,
herbarium,JEPS2889,Streptanthus tortuosus,5/31/26,5/31/26,,,Trinity,457,"Junction City Northern Coast Ranges (on rock bluffs); Junction City, Trinity Co.",40.73333,-123.0525,
herbarium,UCD116305,Streptanthus tortuosus,6/20/84,6/20/84,,,Shasta,460,"O'Brien exit, I-5.",40.824331,-122.016776,
herbarium,UCD164175,Streptanthus tortuosus,8/28/10,8/28/10,,,Trinity,467,Hwy 299.,40.790278,-123.456389,
herbarium,UC1492826,Streptanthus tortuosus,7/22/51,7/22/51,,,Trinity,472,on w side of road 7.6 mi s Salyer Six Rivers Campground (on cliffs); North Coast Ranges,40.844166,-123.557,
herbarium,CAS-BOT-BC87671,Streptanthus tortuosus,4/24/54,4/24/54,,,Mariposa,487,Merced River about 10 miles below El Portal.,37.670358,-119.912943,
herbarium,CHSC43444,Streptanthus tortuosus var. suffrutescens,5/2/78,5/2/78,,,Butte,487,"Near the large parking area on the top of Table Mountain, about 7 miles north of Oroville.",39.595556,-121.539444,
herbarium,CHSC33187,Streptanthus tortuosus,6/2/81,6/2/81,,,Butte,488,"Ca. 400 m w of Butte/Plumas county line, on s side of Hwy 70, ca. 41 km nne of Oroville.",39.862222,-121.387222,
herbarium,UCD116289,Streptanthus tortuosus,5/6/84,5/6/84,,,Tuolumne,488,"6.4 km SE of Moccasin, E side of Highway 49.",37.769253,-120.260432,
herbarium,SJSU15245,Streptanthus tortuosus,6/3/13,6/3/13,,,Mariposa,492,Hite Cove trail by trailhead near highway 140.,37.653072,-119.885108,
herbarium,UCD78183,Streptanthus tortuosus,5/22/08,5/22/08,,,Mariposa,498,"5 mi S of Mariposa, ca. 1.25 mi W of summit of Lookout Mtn",37.41,-119.963889,
herbarium,UCD78184,Streptanthus tortuosus,5/22/08,5/22/08,,,Mariposa,498,"5 mi S of Mariposa, ca. 1.25 mi W of summit of Lookout Mtn",37.41,-119.963889,
herbarium,UCD78185,Streptanthus tortuosus,5/22/08,5/22/08,,,Mariposa,498,"5 mi S of Mariposa, ca. 1.25 mi W of summit of Lookout Mtn",37.41,-119.963889,
herbarium,UCD78186,Streptanthus tortuosus,5/22/08,5/22/08,,,Mariposa,498,"5 mi S of Mariposa, ca. 1.25 mi W of summit of Lookout Mtn",37.41,-119.963889,
herbarium,CAS-BOT-BC475143,Streptanthus tortuosus,3/29/81,3/29/81,,,Fresno,502,"Southern Sierra Nevada, Sequoia National Forest. Along access road to Balch Power House E of Balch Camp, North Fork Kings River drainage",36.908333,-119.094444,
herbarium,CHSC71030,Streptanthus tortuosus var. pallidus,5/14/98,5/14/98,,,Shasta,502,"Hwy. 299 between Whiskeytown Lake and Buckhorn Summit, 2.5 mi west of Crystal Springs Rd. On a roadcut.",40.668889,-122.694167,
herbarium,JEPS94226,Streptanthus tortuosus var. tortuosus,5/14/98,5/14/98,,,Shasta,502,2.5 mi w of Crystal Springs Road (Highway 299 between Whiskeytown Lake and Bucknorn Summit); Highway 299,40.6738,-122.7014,
seed_collection,Ben Hur,Streptanthus tortuosus,,,,,,511.4294422,Demography site,37.40985,-119.96458,x
herbarium,UCD116297,Streptanthus tortuosus,5/13/84,5/13/84,,,Shasta,512,"Highway 299, 5.3 km west of its junction with French Gulch Road.",40.664811,-122.732738,
